source,target,title,conference,year1,year2
82,32,A Data-Driven Approach to Hue-Preserving Color-Blending,Vis,2012,2012
94,223,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
274,70,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
274,55,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
274,66,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
70,55,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
70,66,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
55,66,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
190,1,Computing Morse-Smale Complexes with Accurate Geometry,Vis,2012,2012
190,268,Computing Morse-Smale Complexes with Accurate Geometry,Vis,2012,2012
1,268,Computing Morse-Smale Complexes with Accurate Geometry,Vis,2012,2012
183,188,Efficient Structure-Aware Selection Techniques for 3D Point Cloud Visualizations with 2DOF Input,Vis,2012,2012
3,265,ElVis: A System for the Accurate and Interactive Visualization of High-Order finite Element Solutions,Vis,2012,2012
145,54,Historygrams: Enabling Interactive Global Illumination in Direct Volume Rendering using Photon Mapping,Vis,2012,2012
218,117,Interactive Retro-Deformation of Terrain for Reconstructing 3D Fault Displacements,Vis,2012,2012
204,106,Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach,Vis,2012,2012
204,60,Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach,Vis,2012,2012
106,60,Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach,Vis,2012,2012
96,184,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
96,266,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
96,134,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
184,266,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
184,134,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
266,134,Lagrangian Coherent Structures for Design Analysis of Revolving Doors,Vis,2012,2012
242,204,SeiVis: An Interactive Visual Subsurface Modeling Application,Vis,2012,2012
184,45,Sketching Uncertainty into Simulations,Vis,2012,2012
152,223,Visual Data Analysis as an Integral Part of Environmental Management,Vis,2012,2012
197,218,Visual Steering and Verification of Mass Spectrometry Data Factorization in Air Quality Research,Vis,2012,2012
197,117,Visual Steering and Verification of Mass Spectrometry Data Factorization in Air Quality Research,Vis,2012,2012
218,117,Visual Steering and Verification of Mass Spectrometry Data Factorization in Air Quality Research,Vis,2012,2012
41,254,Visualization of Astronomical Nebulae via Distributed Multi-GPU Compressed Sensing Tomography,Vis,2012,2012
41,136,Visualization of Astronomical Nebulae via Distributed Multi-GPU Compressed Sensing Tomography,Vis,2012,2012
254,136,Visualization of Astronomical Nebulae via Distributed Multi-GPU Compressed Sensing Tomography,Vis,2012,2012
171,117,Visualization of Flow Behavior in Earth Mantle Convection,Vis,2012,2012
146,101,Visualization of Temporal Similarity in field Data,Vis,2012,2012
278,252,WYSIWYP: What You See Is What You Pick,Vis,2012,2012
278,77,WYSIWYP: What You See Is What You Pick,Vis,2012,2012
252,77,WYSIWYP: What You See Is What You Pick,Vis,2012,2012
117,286,A Scale Space Based Persistence Measure for Critical Points in 2D Scalar fields,Vis,2011,2011
1,268,Adaptive Extraction and Quantification of Geophysical Vortices,Vis,2011,2011
