source,target,title,conference,year1,year2
4177,1299,A Data-Driven Approach to Hue-Preserving Color-Blending,Vis,2012,2012
4177,2803,A Data-Driven Approach to Hue-Preserving Color-Blending,Vis,2012,2012
4177,2793,A Data-Driven Approach to Hue-Preserving Color-Blending,Vis,2012,2012
4177,591,A Data-Driven Approach to Hue-Preserving Color-Blending,Vis,2012,2012
1299,2803,A Data-Driven Approach to Hue-Preserving Color-Blending,Vis,2012,2012
1299,2793,A Data-Driven Approach to Hue-Preserving Color-Blending,Vis,2012,2012
1299,591,A Data-Driven Approach to Hue-Preserving Color-Blending,Vis,2012,2012
2803,2793,A Data-Driven Approach to Hue-Preserving Color-Blending,Vis,2012,2012
2803,591,A Data-Driven Approach to Hue-Preserving Color-Blending,Vis,2012,2012
2793,591,A Data-Driven Approach to Hue-Preserving Color-Blending,Vis,2012,2012
2935,2988,A Novel Approach to Visualizing Dark Matter Simulations,Vis,2012,2012
2935,837,A Novel Approach to Visualizing Dark Matter Simulations,Vis,2012,2012
2988,837,A Novel Approach to Visualizing Dark Matter Simulations,Vis,2012,2012
4212,3992,A Perceptual-Statistics Shading Model,Vis,2012,2012
4212,1074,A Perceptual-Statistics Shading Model,Vis,2012,2012
4212,3497,A Perceptual-Statistics Shading Model,Vis,2012,2012
3992,1074,A Perceptual-Statistics Shading Model,Vis,2012,2012
3992,3497,A Perceptual-Statistics Shading Model,Vis,2012,2012
1074,3497,A Perceptual-Statistics Shading Model,Vis,2012,2012
2332,1875,A Visual Analysis Concept for the Validation of Geoscientific Simulation Models,Vis,2012,2012
2332,3227,A Visual Analysis Concept for the Validation of Geoscientific Simulation Models,Vis,2012,2012
2332,3903,A Visual Analysis Concept for the Validation of Geoscientific Simulation Models,Vis,2012,2012
1875,3227,A Visual Analysis Concept for the Validation of Geoscientific Simulation Models,Vis,2012,2012
1875,3903,A Visual Analysis Concept for the Validation of Geoscientific Simulation Models,Vis,2012,2012
3227,3903,A Visual Analysis Concept for the Validation of Geoscientific Simulation Models,Vis,2012,2012
3810,1189,An Adaptive Prediction-Based Approach to Lossless Compression of Floating-Point Volume Data,Vis,2012,2012
4535,1284,Analysis of Streamline Separation at Infinity Using Time-Discrete Markov Chains,Vis,2012,2012
2953,1796,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
2953,1417,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
2953,1623,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
2953,1254,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
2953,3423,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
1796,1417,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
1796,1623,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
1796,1254,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
1796,3423,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
1417,1623,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
1417,1254,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
1417,3423,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
1623,1254,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
1623,3423,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
1254,3423,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
3704,4215,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
3704,1222,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
3704,4159,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
3704,3401,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
